task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,4,BM3R1/B2,383823,221275,0.794597941860697,21,15,605098
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,5,BM3R1/B3,356840,230767,0.6288382032006562,21,15,587607
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,6,HlyIIR/H1,128348,1012426,-2.979673927053584,21,15,1140774
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,7,IcaRA/I1,819283,429065,0.9331640566144912,21,15,1248348
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,8,LitR/L1,127596,1011363,-2.9866360163965453,21,15,1138959
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,9,LmrA/N1,113036,768705,-2.7656368470196586,21,15,881741
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,10,PhlF/P1,42978,666492,-3.954885902320755,21,15,709470
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,11,PhlF/P2,559410,218055,1.3592099346119404,21,15,777465
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,12,PhlF/P3,544640,221022,1.3011090844936253,21,15,765662
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,13,PsrA/R1,890858,574500,0.6328877043171764,21,15,1465358
circuit_log,d2o=2|dfi=1|in=1|out=1|pred=0|succ=1|type=NOT,2,1,1,1,0,1,NOT,14,QacR/Q1,621241,328021,0.9213627908619072,21,15,949262
